cat1,cat2,name,raised,desc,ticker,start,end,www,whitepaper,reason,lifetime,author,link
singapore,,oneroot,,"Concept and applications based on the blockchain technology are disrupting and transforming the traditional economy and will eventually form a new comprehensive and efficient system. ONEROOT aims to make use of the immutability, transparency and traceability of blockchain while embracing values of decentralization and shared economy to build a network of value that better fits with the characteristics of distributed network and tokenization of assets. Upholding the ideals of sharing and co-operation, our team provides infrastructures for digital assets and co-builds an ecosystem in conformity with characteristics of decentralization, fastening this migration of value.",RNT,5th Dec 2017,4th Jan 2018,https://www.oneroot.io/en,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
UK,,bitrent,14.62721,"BitRent platform enables every individual on Earth invest and own any commercial and residential property item. We make buying hotels, businesses and shopping centers affordable to everyone.",RNTB,1st Dec 2017,31st Mar 2018,http://bitrent.io/,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
estonia,,vlb,,"VLB Tokens streamline the $1.8 trillion vehicle lifecycle industry. Vehicle Lifecycle Blockchain creates cost saving and operations optimization opportunities for auto industry players. Value of these opportunities exceeds the value of VLB Tokens at ICO by multiple orders of magnitude. Vehicle Lifecycle Blockchain will ultimately be fully decentralized and will be deployed by CarFix in cooperation with QIWI Blockchain Technologies (NASDAQ: QIWI) CarFix, the issuer of VLB Tokens, is a transaction platform that is reshaping one of the largest consumer industries in the world – auto sale, repair & maintenance. CarFix, just after 18 months since creation, has already brought a significant degree of order and transparency into the industry. CarFix has developed and implemented software that establishes algorithm based final fixed prices for all key repair and maintenance works. CarFix has support of institutional investors.",VLB,12th Mar 2018,9th Apr 2018,http://vlb.io,,Failed ICO, 2017-2018, Oskar Hartmann, https://www.coinopsy.com/dead-coins/vlb-token/
estonia,,cryptaldash,15.287911,"CryptalDash is a robust crypto exchange and trading platform. Equipped with institutional grade matching engine and third party crypto exchanges order routing capabilities. All located under one Dashboard.",CRD,19th Apr 2018,19th Jun 2018,https://www.cryptaldash.com,,Failed ICO, 2017-2017, George Powell, https://www.coinopsy.com/dead-coins/carderion/
russia,,truedonate,,"TrueDonate is a decentralized ecosystem, it allows social entrepreneurs, community groups, non-profit organizations and individuals to share social ideas, create projects and gather funds.",TDN,1st Dec 2017,15th Jan 2018,https://truedonate.io,,Failed ICO, 2017-2018, Roman Sirota, https://www.coinopsy.com/dead-coins/truedonate/
UK,,mcoin,,"mCoin is a unique, inclusive cryptocurrency, available with or without the Internet (hybrid).mCoin creates a financially inclusive opportunity for unbanked people and businesses. Together with ONEm applications, mCoin will generate more economic activities with transaction records. These records will establish a trusted credit history for everyone. Having a credit history is a step towards micro-financing in emerging markets. mCoin is a cryptocurrency based on Bitcoin technology. The main difference is that mCoin doesn't need access to the Internet. Half of the world's population doesn't have Internet and can't access a cryptocurrency. Of these, 1.7 billion can use mCoin on their mobile, even though they don't have data.",MCN,16th Apr 2018,7th Jul 2018,https://mcoin.onem.com,,Failed ICO, 2017-2018, Denis Kozik, https://www.coinopsy.com/dead-coins/admine/
UK,,africunia,2.5,"AFRICUNIA is introducing an innovative banking model that allows the use of digital currency without hurdles, risks and technical barriers linked with owning, transferring, and trading in cryptocurrencies and tokens.",AFCASH,1st Jan 2018,31st May 2018,https://africunia.com/,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
cyprus,,forever has fallen,,"Forever Has Fallen is a global transmedia game, with an online/offline economy to utilise Forever Coin utility tokens; underpinned by a business model for generating multiple sources of revenues, including FIAT currencies. The strategic use of the total token supply enables funding to complete the game and to provide support for the utility token when the game is launched. The game token sale event offers 35% of the total token supply at 1ETH = 10,000 Forever Coin (FC), for a hard cap of 35,000ETH. Purchasing the game token provides player rights and privileges in the game. The funds generated will complete the global experience-game, along with marketing towards gamers in an uncontested market space. The business plan has strategies to meet variations in ETH values, in order to go to market with a world class game/service offering.",FC,8th May 2018,19th Jun 2018,https://www.foreverhasfallen.com,Australia,https://foreverhasfallen.com/assets/fhf_whitepaper.pdf,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
USA,,coinlion,7.0,"CoinLion is the industry solution for managing the complex jungle of trading digital assets. We believe trading digital currency should be a rewarding process. CoinLion empowers investors of digital currencies to exchange and trade under one portfolio management platform while providing market research and analytics to enable the execution of smart, controlled and disciplined trading strategies. CoinLion users can earn LION in the form of many community incentives, and for sharing portfolios, research, and strategies with users. In a rapidly expanding market with no simple solution, CoinLion users enjoy access to a dedicated customer service team devoted to answering your questions and keeping up with evolving regulatory and compliant standards. You buy and sell digital currency, CoinLion does the rest.",LION,18th Dec 2017,25th Feb 2018,https://coinlion.com,,Failed ICO, 2017-2018, Max Elistratov, https://www.coinopsy.com/dead-coins/4lions/
russia,,beefcoin,,"Restaurant business in Moscow is experiencing great growth, especially those with natural organic food. Therefore, it was decided to expand our working model in green business to raise additional funds. We are accomplishing this by launching a Token Sale using crypto-currency and blockchain technology. Tokens will be issued with name BeefCoin (BEEF). There will also be bonus tokens with name BeefGold.",BEEF,1st Jan 2018,31st Mar 2018,http://beefcoin.org,,Failed ICO, 2017-2018, Hamir Modhwadia, https://www.coinopsy.com/dead-coins/beesocials/
australia,,shping,6.631311,"With Shping, it’s our goal to help consumers make safer, more informed decisions about the products they buy. Now they can also access information about any product just by scanning a barcode, to discover exactly what it’s made of, where each ingredient is from, whether it is certified and for some products, if it’s authentic.",SHPING,22nd Feb 2018,23rd Mar 2018,https://tokensale.shping.com,Australia,https://tokensale.shping.com/assets/shping_coin_whitepaper.pdf,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
switzerland,,dav,18.559653,"DAV is a blockchain-based transportation protocol that enables a decentralized, peer to peer, global transportation network. Our underlying infrastructure enables vehicles to discover, communicate, and transact with one another using DAV tokens. DAV’s advisors and team comes from some of the best brands in the world, including several Ethereum veterans, the former CTO at General Motors, Nasa astronauts, and additional executives from the likes of SAP, UPS, Equinix, IBM, Cisco, and Google. We've been acknowledged with ratings exceeding 90% from top reviewers such as TheGobOne and Rocket Fuel Capital, and have been featured in Forbes Magazine, VICE, and CoinDesk. We already have several working prototypes with partners across the transportation industry and are launch.",DAV,11th Jun 2018,25th Jun 2018,https://dav.network,,Scam/Premine, 2017-2018, Unknown , https://www.coinopsy.com/dead-coins/davorcoin/
USA,,medchain,0.467396,"MedChain's mission is to use blockchain technology to establish a better, more secure and transparent framework for Electronic Medical Records (EMR) that vastly improves the quality of care for patients while reducing healthcare providers' costs. This allows companies and individuals to build software and applications within a globally compliant framework facilitating secure storage and transparency. MedChain is offering a blockchain and distributed storage solution for Electronic Medical Records (EMR) and electronic Protected Health Information (ePHI). The MedChain Network (MCN) is an extensible, layered architecture and protocol system governed and secured by multiple blockchains that utilize a multi-crypto-token framework.",MDX,28th Dec 2017,30th Apr 2018,http://medchain.us,,Failed ICO, 2017-2018, Denis Kozik, https://www.coinopsy.com/dead-coins/admine/
UK,,lccx - london crypto currency exchange,0.5,"LCCX aim to become the most trusted crypto currency exchange in the world. Based in the UK, it will be fully regulated by the FCA and clients funds will be kept secure using cold storage vaults and also be insured against hacks. LCCX will also provide a new industry standard of customer experience with 200+ coins to trade against both popular crypto and popular fiat currency. LCCX will also feature 24/7 live chat support .",LXT,12th Mar 2018,30th Apr 2018,https://www.lccx.io,,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
singapore,,no fake today,,"No Fake Today is the most effective technology to fight counterfeiting of your products. The simple elegant approach backed by highly sophisticated technologies such as anti- counterfeit algorithm based on Blockchain, Cryptography, Big Data and Machine Learning.",NFC,1st Mar 2018,31st Mar 2018,https://nofake.io,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
australia,,t8ex,,"T8EX is a World First purely Crypto-to-Crypto Digital Exchange that is forward thinking in how Coins and Tokens will function in the near future. T8EX is the first Crypto-to-Crypto Exchange which caters to Wholesale Clearance trading activities. The heart and soul of T8EX are the Hardware & Software Tools provided which allow any T8EX Account Holder to move into and out of their cryptocurrency coins and tokens via PrePaid Debit Card, Point-of-Sale (POS) Machine, Near-Field-Communication (NFC) Card, as well as an All-In-One Proprietary Mobile Phone E-Wallet App which unites all these functions into one easy to use interface.",T8EX,28th Mar 2018,28th Mar 2018,https://www.T8EX.com,Australia,https://docs.wixstatic.com/ugd/ec9348_7f2be01b150d4db0ba248311af07d1ec.pdf,,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
USA,,pocketinns,,"Pocketinns is a product offering from a team consisting of blockchain academics and researchers (Phd’s), entrepreneurs, technologists and ceo’s having previous successful experience in scaling successful businesses and having worked for companies like Google, Barclays, JP Morgan, Bank of America, Reuters, Nike etc. Pocketinns is a decentralized blockchain driven marketplace ecosystem that operates multiple marketplaces under one roof supported by its own financial network and its very own Pinns currency with the vision of turning it into an alternative digital nation on the blockchain in the future. Pocketinns is a 506c exempt offering, Reg D in US for accredited investors.",PINNS,15th Jan 2018,31st Jan 2018,http://www.pocketinns.io,USA,http://pocketinns.io/final.pdf,,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
australia,,forever has fallen,,"Forever Has Fallen is a global transmedia game, with an online/offline economy to utilise Forever Coin utility tokens; underpinned by a business model for generating multiple sources of revenues, including FIAT currencies. The strategic use of the total token supply enables funding to complete the game and to provide support for the utility token when the game is launched. The game token sale event offers 35% of the total token supply at 1ETH = 10,000 Forever Coin (FC), for a hard cap of 35,000ETH. Purchasing the game token provides player rights and privileges in the game. The funds generated will complete the global experience-game, along with marketing towards gamers in an uncontested market space. The business plan has strategies to meet variations in ETH values, in order to go to market with a world class game/service offering.",FC,8th May 2018,19th Jun 2018,https://www.foreverhasfallen.com,Australia,https://foreverhasfallen.com/assets/fhf_whitepaper.pdf,Volume/Abandonment, 2017-2018, Richard Roman, https://www.coinopsy.com/dead-coins/facecoin/
USA,,the bee token,15.0,"We are a seasoned team of former employees from Google, Facebook, Uber, and Civic reimagining the sharing economy. Together, we are building Beenest and the Bee Protocols on the Ethereum blockchain.",BEE,31st Jan 2018,13th Feb 2018,https://www.thebeetoken.com,,Failed ICO, 2017-2018, Hamir Modhwadia, https://www.coinopsy.com/dead-coins/beesocials/
russia,,honeybee,0.174177,"Blockchain project based on actual products.",HNBEE,1st Jun 2018,1st Jul 2018,https://hnbee.io,,Failed ICO, 2017-2018, Hamir Modhwadia, https://www.coinopsy.com/dead-coins/beesocials/
UK,,spindle,,"SPINDLE, a comprehensive space which aims to act as a gateway creating access to various investment options at a high level of transparency. SPINDLE believes that establishing a fair relationship between investors and asset managers is the best way to remove investors’ vague sense of unease about investment and encourage involvement in proactive asset management. With this in mind, SPINDLE aims to serve as a bridge providing transparent access to cryptocurrency fund investment for individual users, and extended exposure to cryptocurrency fund managers.",SPD,9th May 2018,15th May 2018,https://www.spindle.zone/,,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
USA,,shop protocol,,"SHOP, a Brand & Shopper led co-op, decentralizes retail onto blockchain with an open-sourced protocol supporting tokenized ecomm experiences. SHOP has already open-sourced numerous APIs to connect existing platforms (Shopify, Stripe, UPS, and more) to the Ethereum blockchain, and provides an entire framework for shopping and selling digitally with all of the convenience of the web with the necessary advances of decentralized networks. The SHOP protocol is free, open, transparent, and bridges the gap between the current system of ecommerce and the P2P future. By removing the need for a middle men in the consumer-retailer relationship, shoppers maintain a high quality shopping experience with their personal data secure.",SHOP,20th Feb 2018,12th Jun 2018,https://shoppers.shop,,Hack/Swap, 2017-2018-Swap, Unknown , https://www.coinopsy.com/dead-coins/shopin/
switzerland,,etherspin,,"Cryptocurrency blockchain-based casinos are a signi cant improvement over tradi on- al casinos due to transparency and fairness they provide. It is expected that casinos in the future will move towards blockchain technology, or be le behind. In addi on, tra- di onal casinos require tedious sign-ups, exposure of personal informa on, and a long veri ca on process for players. As a result, EtherSpin has the poten al to take market share from exis ng casinos.",SPIN,24th Mar 2018,23rd Apr 2018,https://etherspin.org,,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
switzerland,,traxia,15.0,"Traxia is a B2B trade finance platform that allows SMEs to access short-term funding by using their accounts receivables as collateral.Institutional investors can buy and trade this newly created tokenized debt securities on a global market.",TMT,1st May 2018,2nd Jun 2018,https://www.traxia.co,,Failed ICO, 2017-2017, Steven Moore, https://www.coinopsy.com/dead-coins/tothemoon/
france,,pixinch,,"Pixinch is a project that aims to create a broadcast platform for Artists, Collectors and Art lovers. Pixinch is also a marketplace where anyone can collect and trade artworks from artists, worldwide. The mining factor at Pixinch is based on owning and exchanging artwork. Pixinch wants to create a new quote currency (Pixinch / PIN) for artists and artworks on the platform. Selling art worldwide need a free currency. The blockchain technology allows Pixinch to provide artists and collectors a decentralized way to register and deliver proof of ownership.",PIN,27th Feb 2018,13th Apr 2018,https://ico.pixinch.com,,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/ninth-wonder/
estonia,,serenity,3.935974,"Serenity is the first blockchain escrow for financial and cryptocurrency markets. Serenity will unite brokers and traders on a single platform that uses blockchain to ensure the never-seen-before level of protection of financial assets for all traders and investors no matter the country of residence. The main features of Serenity Platform are: - Escrow – securing funds via smart contracts - Recording trading operations in the blockchain - Verifying broker quotations - Cryptocurrency exchange for quick cryptocurrency purchase. The prototype of the exchange is already available on our website.",SRNT,25th Jan 2018,7th Mar 2018,https://serenity-financial.io,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
