cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,,,
Art,,artpro,,"The Art of blockchain ArtPro makes it easy for anyone to buy and sell art over the web. A user-friendly platform harnesses the many benefits of blockchain technology, enabling ArtPro to restore the trust that has long been missing from the art industry. Instead of relying on third party authenticators, ArtPro favours a consensus mechanism that delivers a secure, decentralized system. ArtPro is creating the go-to marketplace for private dealers and contemporary artists, with a strong focus on emerging talent. The ArtPro platform will open the art world to the masses, making it possible for anyone to discover and purchase fine art online without the excessive fees, intermediaries, and steep learning curve that have traditionally made art available to only to the privileged and the well-connected. Certificates of provenance, stored on the blockchain, attest to the authenticity of each artwork on the ArtPro platform, but that is only the beginning.",APT,25th Jul 2019,3rd Sep 2019,https://www.art-pro.io,Malta,https://www.art-pro.io/files/artPro_white_paper.pdf
Artificial Intelligence,,apollon,,"Apollon’s business vision is to provide commercial-level integrated blockchain infrastructure services. The core competency for this business model rests on the following: a. a community marketplace concept based on a host of diverse pan-entertainment offerings; b. capable and robust technology deployment in the blockchain, side-chain, and blockchain security; c. strong and secure payment tools and gateways; d. and a 2-tier currency structure with LCash tied to the US dollar to alleviate operators’ pain points.",APO,1st Aug 2018,31st Aug 2018,https://www.apollon-foundation.org,Malta,http://www.apollon-foundation.org/static/file/Apollon_Whitepaper.pdf,,,,,,,,
Artificial Intelligence,,crypto circle exchange,1.515,"CryptoCircle eXchange is the most advanced and secure cryptocurrency exchange powered by a cutting edge technology that is capable of over 10 million transactions per second. Our customers depend on us, as much as we, upon them. In this world of give and take, it has never been as transparent as right now, when dealing with our exchange. We want others to look at the symbol we have, and remember instantly our connection with our customers. At its core, CryptoCircle eXchange is a revolutionary cryptocurrency and blockchain asset exchange focused on speed, safety, scalability, and customer support. We will issue our own token called the CryptoCircle eXchange Coin, with CCX as the symbol. CCX is an ERC20 token running on the Ethereum blockchain.",CCX Token,29th Dec 2018,8th Feb 2019,https://www.cryptocircle.exchange,Malta,https://www.cryptocircle.exchange/whitepaper.pdf,,,,,,,,
Artificial Intelligence,,cryptoindex,11.037891,"Cryptoindex is an exciting new AI-powered platform built to, essentially, predict the next Bitcoin. It accomplishes this through the creation of a cryptocurrency market benchmark known as the Cryptoindex100, which utilizes a one-of-a-kind Zorax algorithm to create a fully-automated index — calculated from a plethora of data imports and sources. With Cryptoindex, each coin is constantly revalued via a feed of neural networks, removing human bias and emotion from the equation entirely.",CIX100,17th Oct 2018,10th Mar 2019,https://cryptoindex.io,Malta,https://cryptoindex.io/docs/CryptoindexWP1.0.pdf
Artificial Intelligence,,ecoingot,,"Ecoingot is an all-encompassing platform for balancing carbon impacts, accessed via our asset-matched crypto tokens. We are developing a unique carbon data gathering methodology enabling us to compile a powerful data-driven engine –called ECOSISTM. ECOSISTM will deliver comprehensive and globally relevant on-demand carbon impact calculations. These combined functionalities will allow Ecoingot to create the ‘Internet of Carbon’, designating a carbon impact value on everything - resulting in seamless integration with the Internet of Things. Mike Berners-Lee (a leading expert in carbon footprinting and author of “How Bad are Bananas? The Carbon Footprint of Everything”) and his team from Small World Consulting and Lancaster University are developing the data sets. The blockchain platform we are building will integrate AI & Machine Learning algorithms and globally relevant environmental metrics that, for the first time, will enable the gathering of data to create the ‘Internet of Carbon.",EGT,16th Oct 2018,31st Mar 2019,https://ecoingot.com,Malta,https://ecoingot.com/wp-content/uploads/2018/10/Ecoingot-White-Paper_v1.0_15-October-2018.pdf
Artificial Intelligence,,phi token,3.8,"The first Wealth Management marketplace that combines traditional finance and the crypto world into a new, higher return and more robust way to invest in the long term.",PHI,8th Mar 2018,21st Mar 2018,https://www.phitoken.io,,,,,,,,,,
Banking,,capitual,,"With a ready state-of-the-art produced working live platform, Capitual is already bringing crypto-currencies to people in different sectors. With your help, we can popularize crypto-currencies' usage across the whole world! Capitual brings the evolution of crypto-currencies for the rest of us by allowing instant exchange between fiat and crypto-currencies.",CPB,1st Jun 2019,31st Dec 2019,https://capitual.io,Malta,https://capitual.io/whitepaper.pdf
Banking,,globiance,,"Globiance vision is to provide financial services for professional and personal customers.The Globiance platform covers exchange and trading of Crypto and Fiat currencies, payment solutions and worldwide money transfers. The goal is to make it so simple and attractive to use these services that customers will keep their money on the platform and use it for many everyday matters. Globiance would like to offer a platform to reward investors and traders via cashback, rebates and discounts.",GBEX,5th Mar 2019,22nd May 2019,https://globiance.com,Malta,https://globiance.com/wp-content/uploads/2019/02/Globiance-white-paper-presentation-doc.pdf
Banking,,hold,11.3,"HOLD is a peer-to-peer lending and borrowing platform that allows members to leverage cryptocurrencies and obtain instant cash advances directly on an exclusive prepaid payment card that is also linked to a convenient mobile app. HOLD provides instant on-demand cash on an exclusive card, allowing you to simultaneously pay your expenses and keep the potential growth of your cryptocurrency holdings.",HOLD,4th May 2018,31st May 2018,http://hold.co,,,,,,,,,,
Banking,,ivyn,,Ivyn project is a set of products made up of several free software modules that provide powerful business tools capable of creating an extended network of users and services. It involves two main departments: Ivyn Software Suite and Ivyn Mining Farm. Our platform allows parties to e-merge in the smart economy offering a unique crypto payment solution without incurring any exchange or time delays.,IVYN,1st Jun 2018,31st Jul 2018,https://www.ico.ivyn.com,Malta,,,,,,,,,
Banking,,pyapay,,"PyaPay's open-source Pull Payment Protocol is a comprehensive blockchain solution which offers robust payment mechanisms far more credible, efficient, flexible, cost-effective, and scalable than current implementations (credit cards). Unlike today's payment methods, which include credit cards and virtual coins like Bitcoin, the Pull Payment Protocol was designed from the ground up specifically to overcome existing hurdles and offers a set of tools developed to facilitate onboarding processes for both businesses and individuals.",PYP,14th May 2018,14th Jun 2018,https://pyapay.coSmart Contract,,gamblica,1.371565,"GLOBAL BLOCKCHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience. Gamblica addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy GMBC: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with GMBC only, which will foster the token's growth. - The ever-growing market of online gambling.",GMBC,1st Mar 2018,2nd Aug 2018,https://gamblica.com,Malta,https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf
Banking,,tridentcoin,,"Own the market instead of picking winners. We’re in a new era for cryptocurrency. In the several years prior to March 2017, Bitcoin was almost always over 80% of the entire market. Since March, Bitcoin has become less than 50%, while many other protocols have grown to significant market caps and developed substantial communities. The Trident Index Fund holds the top 10 cryptocurrencies weighted by market cap. The coins in the Trident Index initially will comprise 85% of the market, and are rebalanced as the market changes.",TDC,1st May 2018,31st Dec 2018,https://tridentcryptofund.com,Malta,https://tridentcryptofund.com/Tridentcoin-Whitepaper.pdf,,,,,,,,
Banking,,troy,,"TROY brings real world value to cryptocurrency through its regulated GOLD token. TROY GOLD Tokens can purchase physical gold or FIAT. TROY will produce gold products using 20,000oz of gold bullion supplied by Bullseye Mining Limited (Australia). Our customers can purchase these products using TROY's GOLD Token.",GOLD,24th Sep 2019,9th Jan 2020,https://troy.gold,Malta,https://troy.gold/whitepaper.pdf
Big Data,,sharering,0.01,"ShareRing is an on-demand platform that centralizes the highly fragmented sharing economy by bringing together sharing services across all industries and geographies. Using our decentralized marketplace, users can securely access, connect, and pay for services anywhere in the world. We’re developing an ecosystem that is essentially the Amazon for the sharing economy.",SHR,3rd Jun 2018,4th Jul 2018,https://sharering.network,,,,,,,,,,
Business services,,accounting blockchain,4,"Accounting Blockchain is the future of accounting which will be saving businesses across the globe billions of dollars on a yearly basis and sparing the individual sole reliance on expensive accountants. How is this even possible? Accounting Blockchain are building a dedicated blockchain which will be able to handle business transactions and in the process eliminate approximately 50% of the bookeeping work currently done by accountants. Once businesses integrate blockchain into the industry, the supply chain will be streamlined, saving money to businesses, and moving towards a healthier economy away from the risk of fraud and away from present gross accounting inefficiencies.",TAB,15th Jul 2018,30th Sep 2018,https://www.theaccountingblockchain.io,Malta,https://www.theaccountingblockchain.io/pdfs/whitepaper.pdf,,,,,,,,
Business services,,cloe,,"Cloe Coin (CEC) is a Modern Community for Digital Advertisers and Publishers. First decentralized marketing platform that grants merchants and affiliates a steadfast market relationship while rewarding users accordingly. Cloe platform is driving blockchain technology to revolutionize the digital display advertising space. We aim to lead a revolution in the existing digital advertising space and address the signiﬁcant problems it faces due to the third party involvement, such as unreasonable commission, Ad fraud, lack of negotiation power and a shortage of choice for the publishers and advertisers. We ﬁrmly believe in the idea and have conﬁdence in our vision. With our experienced team, stemming from diverse ﬁelds like law, education, ﬁnance, software development, and journalism.",CEC,28th Sep 2018,3rd Nov 2018,https://www.cloecoin.io,Malta,https://www.cloecoin.io/whitepaperEng.pdf,,,,,,,,
Business services,,intimate,12.5,"It is a a pseudonymous reputation framework for decentralized markets. intimate enables safe transactions in a permissionless environment via trustless two-party escrow, and enables pseudonymous users to check acounterparty’s reputation before entering into a transaction.",ITM,26th Apr 2018,7th Jun 2018,https://intimate.io,,,,,,,,,,
Business services,,reftoken,,"Some of the worlds greatest minds are building the apps of the future based on blockchains, RefToken is here to connect those developers, with the brands and marketers that can make their projects go mainstream.",REF,17th Nov 2017,17th Dec 2017,https://reftoken.io,,,,,,,,,,
Business services,,tipbot v1,,"Through a series of apps and platforms, users will have the freedom to tip anyone or pay for services and much more. Tipbot will introduce non-technical people to cryptocurrency through simplicity.",TIP,7th Sep 2018,7th Sep 2018,https://www.tipbot.io,Malta,https://www.tipbot.io/whitepaper.pdf,,,,,,,,
Business services,,truwho,,"TruWho is redefining the world of “KYC as a service.” Our radically new approach to “Know Your Customer” and ‘“Anti-Money Laundering” are built on our sophisticated, secure, and intuitive proprietary platform. Putting the power of your identity back in your hands while still lowering the cost for both businesses and individuals. Removing friction for users and businesses alike, TruWho is a platform full of features you will wonder how you ever lived without. With services all over the world requiring AML and KYC data from their customers, the end result is the same. Your sensitive identification information such as your personal ID, passports, and home address are stored by numerous parties all over the world while you retain no control over them. Simply because a company is great at offering a trading exchange, does not mean they are experts in storing sensitive verification documents. TruWho aims to remedy this and many other issues facing the handling of identity verification in a secure, tech-forward solution. TruID and WHO Token will become essential tools for both B2B and peer to peer groups when looking to verify, transmit or secure sensitive personal information. With a TruID you will be able to sign into multiple partner platforms with a single username and password resulting in instant verification. As a customer - no more long waiting periods or re-gathering and submitting your documents. As a business - faster onboarding, increased trust, and built in friction-free user base. As a TruWho user you will also have the peace of mind that your information and documents are stored with a secure, trusted U.S. based company and that you are able to destroy or revoke access to your information with ease if desired. TruWho offers ‘Anonymous Verification,’ allowing participating partners or peers to see that you have been verified while only passing non-identifying information to the third party, protecting your privacy. Natively offering multiple levels of verification from Bronze all the way up to Diamond, we have developed a robust system that remains flexible enough to meet your needs. TruID and WHO tokens - the future of verification is now.",WHO,15th Sep 2018,21st Jan 2019,https://truwho.com,Malta,https://truwho.com/whitepaper.pdf,,,,,,,,
Casino & Gambling,,bitwin 2.0,,"From sports betting to live casino gaming, blockchain will undeniably have a huge impact on online gambling business. Cryptocurrency casino and sportsbook soon expands its range of products to decentralized versions, contributing to the next-level entertainment and previously uncharted functionalities. The blockchain update of the platform is called Bitwin 2.0 and will be used with Bitwin Token (BWT).",BWT,18th Apr 2019,22nd Jun 2019,https://token.bitwin.com/index.html,Malta,https://token.bitwin.com/files/Bitwin-Whitepaper.pdf
Casino & Gambling,,gimli,1.702589,"Gimli is a revolutionary way of experiencing live eSport streaming. Engage in bets, challenges and surveys with your streamers using digital tokens. Gimli is an eSports application made by eSport fans for eSports fans. Streamers benefit from Gimli's enhanced engagement for their streams and their audience. Gimli reaches millions of viewers all over the world.",GIM,16th Sep 2017,20th Oct 2017,https://gimli.io,,,,,,,,,,
Casino & Gambling,,kheper,,"The Kheper project is about developing online gaming platforms and land-based gaming equipment that work with the Kheper Token and integrate the two of them creating the “token for gambling”. We are a blockchain software company based in Malta and we are collaborating with established companies with more than 20 years of experience in the gambling industry. Together they are doing 100’s of millions of dollars in yearly revenue. A common issue with gambling in crypto is the high barrier of entry. Together with our partners, we are lowering the barrier of entry for regular players to play within the cryptocurrency world and introducing a new form of excitement in the gambling industry.",KHP,22nd Jul 2018,20th Sep 2018,https://kheper.bet,Malta,https://khp-79pgnkggv.netdna-ssl.com/wp-content/uploads/2018/07/Kheper-Project-White-Paper.pdf,,,,,,,,
Casino & Gambling,,unilot,,"Unilot is a decentralized gambling platform which allows players to play and host online games like poker tournaments, lottery and many other games. Unilot will be available through mobile apps on iOS and Android platforms and transact using Unilots as it’s main currency. Unilot is driven by an important social mission in its core: to build the world's most transparent, secure, and diverse betting platform. The project allows to lead gaming industry to totally new level giving elimination of deposit risk, gameplay fairness and transparency. At Unilot platform all users can host their own games and earn money honestly. Unilot is all about a more balanced and fair gambling network. Using Ethereum network and Ethereum smart contracts it eliminates costly server hosting fees and disputes arising from handling players' funds.",UNIT Token,20th Apr 2018,1st Jun 2018,https://unilot.io/en-us,Malta,https://unilot.io/en-us/white-paper.html,,,,,,,,
Charity,,poseidon foundation,2.421832,"Poseidon is a not-for-profit foundation that empowers people to save the planet with every purchase through its breakthrough platform. The platform provides a vital new tool for retailers to shift behaviours and integrate real climate action into every retail transaction at the point-of-sale. Using blockchain technology, Poseidon empowers all of us to address the carbon impact of our lifestyle choices to track and share the positive impact of our transactions on individual projects with our peers.",OCEAN,16th Jun 2018,29th Jul 2018,https://www.poseidon.eco,Malta,https://poseidon.eco/assets/documents/Poseidon-White-Paper.pdf,,,,,,,,
Communication,,bluegold,,"In the spirit of the Blockchain freedom and independence, BlueGold offers cruises dedicated to the crypto-universe. Sailing from one business capital to the other, these cruises will act as a mobile hub for the global development of the Blockchain. BlueGold wishes to be a springboard for the Blockchain community, key note speakers, media, ICO teams, and potential investors with a content-driven place to meet.",BG,1st Aug 2018,31st Dec 2018,https://bluegold.io,Malta,https://bluegold.io/pdf/en-bluegold-white-paper.pdf,,,,,,,,
Communication,,lifetask,3.953123,"LifeTask – the human potential source The decentralized competence matching platform based on blockchain and artificial intelligence. No more sending out CVs and application letters. Lifetask enables the total control of your data by using blockchain and smart contracts for secure data.",TASK,15th Jan 2019,11th Nov 2019,https://lifetask.io,Malta,https://lifetask.io/lifetask-wp.pdf
Communication,,ysign,0.68,"With our ySign app, we can send messages and make phone calls to others free, secure and anonymous! Creating and developing an app for communication without stored information was our goal. Instead of storing your chat communications or calls on a central server, ySign uses blockchain technology for decentralized file sharing to carry and distribute encrypted messages. The decentralized blockchain is our way to secure and guarantee users total privacy during the exchange of information. If there is no centralized copy of all data, there is also no possibility to misuse any information about users. Also, the application doesn't require any personal information from users - users are registered just with username and password.",YSN,19th Apr 2018,4th May 2018,https://www.ysign.io,,,,,,,,,,
Cryptocurrency,,bdxalliance,,"At BDXAlliance, we want to earn your trust by making your everyday life easier with crypto products you can use and benefit from in the real world. With our application already underway for a financial license, we’re going to offer you a safe and secure cryptocurrency ecosystem of blockchain-connected businesses.",BDX,28th Nov 2018,28th Feb 2019,https://www.bdxalliance.com,Malta,https://www.bdxalliance.com/wp-content/uploads/BDX_White_Paper.pdf,,,,,,,,
Cryptocurrency,,binax,6.4,"Binax is one of the most popular digital asset trading platforms around the world. The core team of Binax consists of well-known blockchain specialists from countries around the world such as India, Australia, UK, China, Korea. We believe the core principles of Bitcoin, the blockchain, the distributed ledger, and smart contracts can reshape the ways in which people trust each other. This transformation will eliminate barriers to transactions, increase the efficiency of transactions across society, and eventually have a significant impact on the global economy. Because of this, we have foregone handsome salaries elsewhere and devoted ourselves to the blockchain technology revolution. By doing this, we hope to achieve something that may change the world. At the very beginning of its existence, Binax gained millions of US dollars worth of angel investments from VenturesLab, co-founded by the globally. Binax improves every inconvenience from previous cryptocurrency trade markets, to serve You only. Binax gets the lowest transaction fee among every cryptocurrency Trader in the domestic market.",BIN,15th Mar 2019,29th Jun 2019,https://ico.binax.io,Malta,
Cryptocurrency,,bitcoincorner,,"Bitcoin Corner is a company that will fulfill the requirements of a BaFin-certified bank focusing on crypto by means of the ICO in the future. The focus lies on becoming the first holistic service provider and knowledge broker in the crypto segment. In this capacity, Bitcoin Corner facilitates investors’ entry and handling of cryptocurrencies – worldwide and to an unprecedented extent. In addition, local corner stores serve not only as a point of contact for interested parties and sales and training, but also to promote the acceptance of coins at surrounding offline retailers and shopkeepers.",COCO,15th Aug 2018,14th Aug 2019,https://bitcoincorner.eu,Malta,https://bitcoincorner.eu/wp-content/uploads/2018/08/BitcoinCorner-Whitepaper.pdf
Cryptocurrency,,bitrus,,"BITRUS is an exchange platform that provides users with a friendly interface for trading crypto-fiat and crypto-crypto in a centralized location. Bitrus, with its own coin focused on trading fees payments, offers the latest technology with the most advanced cybersecurity for all concerned. We have developed the integration of both models to offer its users complete service in one location. Our platform with Crypto/Fiat andCrypto/Crypto provides safety, the speed of use and lower exchange commissions, being these the basic pillars for investment. Our vision for the expansion of the C / F looks towards allowing millions of people to venture into this new economy in the most accessible way possible. Encouraging global communication throughout the platform, we can break away from existing paradigms to obtain the positive expected results in the crypto market.",BTRS,29th May 2019,14th Oct 2019,https://bitrus.com,Malta,https://bitrus.com/WhitePaperBitrusExchange_EN.pdf
Cryptocurrency,,bx.bet,,"BX has the vision to create a whole new betting experience, where any user can take over the role of the bookmaker, create their own markets, place and offer bets with self-determined odds, and even participate in the outcome determination of a market. All by using the BX Token, which is conceived to become the global standard for all betting transactions.",BX,19th Nov 2018,17th Dec 2018,https://bx.bet/en,Malta,https://bx.bet/static/files/whitepaper.pdf,,,,,,,,
Cryptocurrency,,coindeal,,"CoinDeal is a cryptocurrency exchange platform founded by three Poles: Kajetan Maćkowiak, Adam Bicz, and Filip Dzierżak. The exchange was launched in March 2018 but has already gained spectacular popularity in the global market. Our daily volume gives us a place among the best cryptocurrency exchanges in the world according to the CoinMarketCap ranking.",CLD token,25th Jun 2019,12th Nov 2019,https://bit.ly/2lAsZz2,Malta,https://token.coindeal.com/white-paper
Cryptocurrency,,cronuscoin,,"Bitcronus is a Bitcoin exchange based in Malta. It allows trading between EUR currency and bitcoin cryptocurrency. It allows EUR, Bitcoin, Ethereum, Ripple, Litecoin, Bitcoin cash, Cardona, Neo, Stellar, Iota, Eos, Dash, Monero, Ethereum Classic, Tron, Cronuscoin deposits and withdrawals. Bitcronus issued its own token called the Cronuscoin, with CRO as the symbol. CRO runs natively on the Ethereum blockchain and follows the ERC20 token standard.You can use CRO to pay for any fees on our platform, including but not limited to: Exchange fees, Listing fees, and any other fee.",CRO,3rd Aug 2018,28th Nov 2018,https://www.cronuscoins.com,Malta,https://cronuscoins.com/frontend/whitepaper.pdf,,,,,,,,
Cryptocurrency,,cryptorevolution,,"Thank to a synergy between a Training Company, a Trading Company and a Technical Advanced Company working in MasterNodes and VPS Services we are able to offer you any kind of service that allows you to know, understand and exploit the cryptocurrency revolution to your advantage. A full training project on the cryptocurrency world is at your disposal and an ecosystem of services connected to it through the use of CREV"" (our utility token) that makes them accessible to everyone and easy to use. Once you have entered into our Ecosystem you can manage everything. General platform is your first step to deposit cryptos and to buy CREV Tokens. After that you can use CREV to buy services for Training", Trading, Mining," Staking and MasterNodes.""",CREV,25th Jul 2018,30th Jan 2019,https://www.cryptorevolutiontime.io,Malta,https://www.cryptorevolutiontime.io/Themes/crev/assets/images/WhitePaper-CREV.pdf,,,,,
Cryptocurrency,,elrond network,1.9,"Elrond is a novel architecture which goes beyond state-of-the-art by introducing a genuine State Sharding scheme for practical scalability, eliminating energy and computational waste while ensuring distributed fairness through a Secure Proof of Stake (SPoS) consensus mechanism. Having a strong focus on security, Elrond’s network is built to ensure resistance to known security problems like Sybil attack, Rogue-key attack, Nothing at Stake attack and others. In an ecosystem that strives for interconnectivity, Elrond’s solution for smart contracts offers an EVM compliant engine to ensure interoperability by design.",ERD,22nd Jun 2019,1st Jul 2019,https://elrond.com,Malta,https://elrond.com/files/Elrond_Whitepaper_EN.pdf
Cryptocurrency,,global crypto alliance,,"The Global Crypto Alliance (GCA - https://gcalliance.io/) constitutes a new kind of borderless organization with experienced professionals who are well-versed in the world of blockchain. Specialized in decentralized business development and blockchain ecosystems, our global network calls an active community of content creators and content consumers into action. GCA’s first product is Global Crypto News (GCNews.io), a totally new, unparalleled, and revolutionary content publication platform with a unique rewarding twist that is fueled by the crypto asset, CALL, and structured as an open network of active news aggregators who can monetize their actions within the system.",CALL,20th Nov 2019,28th Nov 2019,https://gcalliance.io,Malta,https://gcalliance.io/wp-content/uploads/GCA_Greenpaper_V1.05-291019.pdf
Cryptocurrency,,robet,,"RoBET is going to be the worldwide first platform natively based on the Ethereum blockchain thought to create an innovative 'betting exchange', which enhances the use of smart contracts and blockchain in order to create a cryptocurrency based sports betting ecosystem. The transparency and security of the wallet are granted thanks to the use of blockchain. Become a RAC token holder and create your wallet. The idea behind is to enable players to use both RAC tokens or others digital currencies for their bets. RoBET is also a digital multi-cryptos wallet able to guarantee the management of the entire betting process using digital currencies. As a unique and innovative feature, RoBET also offers the possibility to exchange, passing through one or more sports bets, one cryptocurrency into another at a very low transaction fee. Our competitive edge: Thanks to the use of artificial intelligence we’ll help customers to handle risk management, odd evaluation and odd comparison.",RAC,20th Apr 2018,30th Jun 2018,http://www.robet.io,,,,,,,,,,
Cryptocurrency,,snapparazzi,10,"You share your footage with us. We share the profits with you! Snapparazzi is for : - Smartphone's owners (to be a Reporter) - Video Content Creators - Viewers Everyone, everywhere can earn SnapCoin - Breaking news reporters, Moderators, Viewers and Content Creators. Snapparazzi is decentralised independent media sharing & advertising platform, utilising blockchain technology and offering everyone SnapCoin rewards. Snapparazzi permanently solves the problem of incomplete media coverage. With over 2.3 billion smartphones in the world in 2017, every user can potentially become a unique and unrivalled source of exclusive footage or photos of newsworthy events. Anyone with a smartphone and the Snapparazzi App can record it and earn money by selling it for broadcast to a willing buyer - be it a local/global news station.",SNPC,15th Oct 2018,29th Nov 2018,http://snapparazzi.io,Malta,http://snapparazzi.io/doc/whitepaper.pdf,,,,,,,,
