cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,,,
Cryptocurrency,,vegawallet,6.294962,"We cover your journey into cryptocurrency every step of the way. We’ll make it easy to buy and trade, give you a safe place to store it then help you spend it the way you want. VegaWallet's advanced exchange and digital asset wallet launch with our ICO and several fiat trading pairs/ credit card options. Our Multi-Currency Wallet also provides the most secure cold and hot storage options with integration for P2SH Multi-Sig and HDBP32 technology. After our ICO, We introduce a complete point of sale system and payment processor for in person or online business use. Customers of stores running our platform will not only be able to spend their cryptocurrency but also buy more in person upon check out. (Like a Gift Card!) The wallet will also be updated to include VegaPay, our mobile payment application. Allowing you to pay with crypto ANYWHERE (even at places that do not yet accept crypto) by instantly converting your cryptocurrency to fiat money on our exchange and using NFC tech.",VGW,17th Sep 2018,6th Dec 2018,https://vegawallet.com,Malta,http://vegawallet.com/uploads/VegaWalletWhitePaper.pdf,,,,,,,,
Cryptocurrency,,xcrypt,,"xCrypt is the first crypto ecosystem with a high added value in its Exchange Platform ready for Digital Assets and FIAT, Securities, STO and ERC721. We created this end to end system which includes a Debit Card and a Social Media Trading system which is an advanced investment solution, which enables trading on one account managed by a skill full and experienced trader using his own funds and joint funds invested by other traders in his SMT account. This ecosystem is made to be at the same level as the world’s big players, and even surpass them, for we are already suitable in this field’s future. . We believe that, in the near future, many changes in the cryptocurrencies field will occur, as well as in the trading field and in how this world is conceived. This is the reason why, after carefully developing its concept, since its host country allows it, xCrypt decided that its priorities are those of listing security tokens, having an appropriate and strategic marketplace for the ERC721",XCT,24th May 2019,30th Jun 2019,https://www.xcrypt.club,Malta,https://www.xcrypt.club/xCrypt-Whitepaper.pdf
Cryptocurrency,,zbx,,"ZBX is one of the first security token exchanges in the world. ZBX is backed by ZB.com which is one of the top 3 crypto currency exchanges in the world and now looking to expand from China into the world market making them the largest exchange in the world. We are already up and running and have offices in Malta , Sweden and China. ZBX tokens will function much like how Binance use their tokens and we also introudce the tier trading program and referral program so that you can grow with our exchange. There will be a full blown ecosystem where you will also be able to use the ZBX token as a means of payments, we will also offer a prepaid debit card for free when you hold a certain amount of ZBX tokens. We are also working on offering all our customers access to a swiss bank account upon being a customer with ZBX, we are very close to closing this deal which will then be very substancial news in the crypto space as no one else is able to offer this.",XT,1st Feb 2019,1st Mar 2019,https://zbx.com,Malta,
Education,,liker,14,"LIKER WORLD is a block-chain-based educational content platform. This is accompanied by a donation policy related to educational projects. Innovation in future education through technology is oriented towards a better society and humanity. Based on the idea that all corporate activities should pursue social values, LIKER has 3 main aspects: TRUST, REWARD, and DONATION.",LK,20th Dec 2018,29th Dec 2018,https://liker.world,Malta,https://s3.ap-northeast-2.amazonaws.com/liker.world/whitepaper/EN_LightPaper_Likerworld.pdf,,,,,,,,
Education,,rolecoin,,"RoleCoin, a digital currency that tracks and measures the skill and career development progress of its recipient. Philanthropic foundations, impact investors and family offices finally have a way to track the long-term impact of the $100+ billion annual investments in STEM and STEAM education. RoleCoin tracks proof-of-progress as it happens on STEAMRole, a skill and career-development mobile app that showcases inspirational videos and skill roadmaps from successful professionals with careers in science, tech, engineering, art/design and mathematics. Now anyone can learn, earn and return. Because you can not be, what you can not see.",ROLE,15th Jun 2018,31st Dec 2018,https://rolecoin.steamrole.org,Malta,https://app.hubspot.com/documents/3804539/view/15306937?accessId=1a248b,,,,,,,,
Electronics,,bitwings,,"BitWings token, a native currency of Wings Mobile ecosystem, has 100% guaranteed issuing value and is the only means to pre-order the first (40 000) ultra-secure blockchain smartphones in the world able to generate up to 2 ETH a month without any power consumption, powered with neural technology. Safe Core OS™, a secure operating system based on neural technology built within commercial Android systems powered with an AI. Neural Face ID™ gives the ability to recognize the difference between users and strangers, allowing access to users’ menus and applications accordingly. Wings Guardian 2.0™ verifies and warns the user, even in sleep mode. Proof-of-Data algorithm that is able to generate up to 2 ETH in a month. Super Natural Speech system “Angel". WingsPay triple authentication protocol (FaceID, fingerprint, and PIN) allows secure access to an e-wallet equipped with a payment system, based on blockchain technology.",BWN,2nd Sep 2019,30th Nov 2019,https://bitwings.org,Malta,https://bitwings.org/white-paper-en.pdf
Electronics,,gaia,,"GAIA-Projects revolutionizes the way we generate and consume energy by launching a platform, which serves as a global pool of emerging technological inventions tested, pushing humanity closer to reaching the UN's energy goals in the future, The platform serves as a standardizing point to prove the concepts behind such inventions, providing a failsafe framework, that guides such ideas from thought to production through a GAIA-structured financing and marketing plan. Each project entering the pool is subjected to a rigorous vetting process by a team of GAIA experts. GAIA-Projects are the products of painstaking research and development for the most promising and exciting energy inventions and innovations — unique products, devices, and processes that help the world step away from its reliance on fossil fuels and other harmful energy resources of the past.",GEP,1st Jan 2019,31st Mar 2019,https://gaia-projects.org,Malta,https://gaia-projects.org/docs/GAIA-Energy-Projects_Whitepaper.pdf
Electronics,,saiterm,,"SAIEX Tokens. Facts, not words. This is the world of innovation, amazingly sophisticated technology and energy efficiency. A unique opportunity. Get all advantages and privileges offered by SAIEX Tokens. Energy efficiency and emission reduction are and will be a goal in the future. This market will have the greatest growth and development over the coming decades. The SPRING heating system presented is a practical example and a real demonstration of what we can do, and what we will do in the coming months and years. All data shows that our SPRING heating system offers the best cost ratio for heat in the world. SAIEX Tokens. Solid. Concrete. Based on the most advanced patented technology. Energetic efficiency is the priority target of the future, especially for home and office heating, which is used every day by everyone. SAIEX Tokens are the opportunity for everyone based on cutting-edge engineering and highest quality product capable of revolutionizing a sector such as energy efficiency. SAIEX Tokens are based on a real product, produced, patented and tested.",SAIEX,1st Dec 2018,31st Dec 2019,https://ico.saiterm.com,Malta,https://ico.saiterm.com/pdf/whitepaper.pdf
Energy,,etainpower token ico,,"EtainPower is a team of experts with a background in blockchain technology,we help provide renewable energy projects overcome their financial barriers.P While at the same time improving the operation of the current power grid utilities.and enchanting the equality of electricity transactions.",EPR,7th May 2018,30th Jun 2018,http://www.etainpower.io,,,,,,,,,,
Entertainment,,bitsong,0.38,"BitSong is a project dedicated to musicians and listeners and will generate profit for the artist and the users who listens to their songs while creating a money saving opportunity for advertisers. On the BitSong platform you will be able to produce songs in which an advertiser can attach advertisements and users can access from any device. For each advertisement listened, the artist and the listener will get up to 90% of the profits invested by the advertiser The user will be paid for the User Attention""", the producer will receive earnings in real time," the advertiser will be able to optimize the campaign after viewing the reports.""",BTSG,10th Aug 2018,15th Dec 2018,https://bitsong.io,Malta,https://bitsong.io/docs/whitepaper_en.pdf,,,,,,
Entertainment,,declub,,"De Club is a global casino management company, headquartered in Macau. As a third-party management company, De Club provides professional mass gaming area (MASS) membership management service for licensed casinos. It is the first of its kind in Macau and it is well positioned to service thousands of other casinos worldwide.",DEC Token,15th Nov 2018,15th Dec 2018,https://declub.io,Malta,https://declub.io/file/DEC_WhitePaper_en.pdf,,,,,,,,
Entertainment,,gilgam,0.23,"Gilgam.es is planning and preparing to launch a platform allowing both individual players and teams to compete in popular eSport games – DOTA2, League of Legends, Counter Strike: Global Offense, Call of Duty, etc... – supervised by our own artificial intelligence. The client application, which can be downloaded from our landing page, will run within an electron framework on JavaScript, HTML, CSS basis platform will not depend on the operating system of the user. The first anti-cheat defense line is embedded in the the client application. It monitors the programs used by the user and their interference with the running game program. The interface will allow the user to create an account by funding a new Ethereum address with Ether via an established payment processor.",GGS,20th Jun 2017,20th Jul 2017,https://ico.gilgam.es,,,,,,,,,,
Entertainment,,xaya,2.3,"In 2013 the XAYA team introduced the world to true blockchain gaming with the Huntercoin experiment. Since then, they have pushed blockchain technologies ahead with several unique innovations. Through several years of R&D, the team proudly presents this new platform where games can run serverless and unstoppable on the blockchain with countless thousands of games and millions of players. TRUE BLOCKCHAIN GAMING - Real asset ownership, new game genres, completely decentralised virtual worlds, no Central Servers. COMPLETE TOOLSET - SDK/API, documentation, examples and support. No need for complex smart contracts. Use any language you wish. MASSIVE GAME WORLDS - Cutting edge technology that allows for limitless scalability, real-time trustless gameplay and game worlds that support millions of players.",CHI,7th Sep 2018,12th Oct 2018,https://xaya.io,Malta,https://xaya.io/downloads/XAYA_White_Paper.pdf,,,,,,,,
Health,,biohal,,"Biohal is a decentralized preventive medicine platform that extensively uses liquid biopsy authentication protocol to detect Cancer and Alzheimer's at early stages. Biohal's mission is to create a universally available preventive medicine platform that runs on blockchain with liquid biopsy protocol. By joining hands with PROTEO, the first liquid biopsy research partner, Biohal can detect cancer and alzheimer's at early stages. With minimally invasive markers, Biohal's test accuracy remains at 99%.",PONX,15th Nov 2018,30th Nov 2019,https://www.biohal.io,Malta,https://www.biohal.io/pdf/biohal_whitepaper1.4.7.pdf
Infrastructure,,ferrum network,,"Ferrum Network is a high-speed interoperability network built for real-world financial applications. It is comprised of two interconnected elements: a DAG-based interoperability network that can connect to nearly any blockchain enabling peer-to-peer transactions of any digital asset in milliseconds, and the vertically integrated financial applications running on the network that allow users to buy, sell, transact, exchange and store any digital asset without taking custody of those assets. The network is powered by the native Ferrum Network utility token, or FRM. Each transaction requires a nominal of FRM be spent and burned to attach proof to the transaction and as an anti-spamming measure.",FRM,31st Jul 2019,14th Aug 2019,https://ferrum.network,Malta,https://drive.google.com/file/d/1chjmvP_Gmj6n9IeV4mGV_BBjY0hCSV9V/view
Infrastructure,,multiversum,21.40327,"Multiversum delivered the fourth generation blockchain. Multiversum has created a Multichain Relational Database that forms chains of data able to be used in complex industrial and governmental environments. Public health, finance and the whole economic system are about to join the technologic revolution brought by Blockchain. One of our main goals is to meet the needs of every market entity that requires high operational security and can improve its productivity with Blockchain technology. With our high security and stability standards, we make the concept of Blockchain 4.0 real and operative, offering innovative and efficient solutions at trifling costs. The philosophy that inspired and leads Multiversum is “Green Will” manifesto, which can be resumed in three words: People, Planet, Profit.",eMTV,1st May 2018,24th Jun 2018,https://www.multiversum.io,,,,,,,,,,
Legal,,bitdepositary,,"Bitdepositary is heralding a new future for crypto banking with a zero trading fee exchange and an Investors and Voting process for token generation events based on the own Blockchain. With business vetting by legal and financial experts and votes given by the community, investors will get to know which blockchain projects are trustworthy so as to stay protected from scams. Investors will also get a voice in crypto-projects. Bitdepositary offers 25% more tokens on pre-investment in token generation events made with BDT. Other features include an integrated payment solution with a credit card, a secure and lightweight multi-coin wallet, and an easier way to invest in ongoing, upcoming and concluded coin offerings with up to 25 different currencies.",BDT,29th Aug 2018,14th Nov 2018,https://bitdepositary.io,Malta,https://bitdepositary.io/whitepaper.pdf,,,,,,,,
Media,,thrive,26,"Thrive is going to revolutionize the way of doing Digital Marketing Thrive ultimate goal is to establish the first meritocratic & community based Premium Advertisement Market Place. Thrive is based on block chain and smart contracts. The block chain will ensure full transparency, 100% data security and safety. Smartcontracts will ensure fastest and guaranteed payment in the industry. A big issue today still not sorted out. A reliable and meritocratic reputation management mechanism, based on concurrent professional reviews, will ensure websites ratings and premium advertisement placement.Brand safety and reputation won't be a problem anymore. Smart contracts are the bridge on block chain to connect any advertiser and publisher without any third party needed, drastically lowering AD fees. For the first time, both Publishers and Consumers willing to voluntarily share anonymous data will get monetary rewards. Something today everyone is unconsciously already doing for free. Thrive Labs Team believes in its community and in corporate social responsibility, therefore will give the possibility to its community to participate to a survey for charity program yearly donation.",THRT,10th Mar 2018,5th Apr 2018,https://ico.thrivelabs.io,,,,,,,,,,
Other,,odeep,,"Backed by two expert companies in blockchain and traceability (Optimum Consulting and Visionexis with FoxTag), the ODEEP Token gives access to a fully traceable water produced on board our bottling vessels. At a time when consumers are more and more inclined to obtain precise information about the origin and composition of the products they buy, we bet on our “Tracking, Traceability and Trustworthiness” motto. With the future “token to water” swap, any token holder will be able to get a litre of Ôdeep on a dedicated platform. Because water issues concern us all, ODEEP Token also allows anyone to contribute, through a donation made at the initial purchase, to the setting-up with partner NGOs the distribution of 20,000,000 litres in the Middle East & North Africa region. This initiative will equally be fully traceable to track the impact of each person's beautiful gesture.",ODEEP,13th Jun 2018,23rd Jul 2018,https://www.o-deep.io,Malta,https://o-deep.io/pdf/odeep-ico-white-paper.pdf,,,,,,,,
Platform,,ecosc.io,,"ECOSC MVP is a global, decentralized Supply Chain Management solution which utilizes the latest innovative blockchain technology on top of blockchain; that aligns stakeholders, vendors and buyers around the strategic management of supply and demand outcomes, with a widely acceptable currency. To achieve this goal ECOSC has introduced two tokens on the Ethereum blockchain: ECOSCU(Utility Token) and the ECOSC (Security Token).",ECOSCU,16th Aug 2019,25th Jan 2019,https://www.ecosc.io,Malta,https://www.ecosc.io/img/white-paper.pdf
Platform,,fundfantasy,5.5,"FundFantasy is the first provably-fair fantasy gaming platform for finance enthusiasts, powered by blockchain technology. Our platform enables trustless and transparent gaming, and is therefore a natural solution to well-known problems in both the online trading and the online gaming/gambling markets. When the age-old sports betting industry was revolutionized by the rise of Daily Fantasy Sports, people were reminded of the fact that good ideas can change the world. This is precisely what FundFantasy intends to do to the online trading market.",FUNDZ,25th Feb 2018,25th Mar 2018,http://www.fundfantasy.io,,,,,,,,,,
Platform,,komodo,1.983781,"Komodo will bring about the anonymity of Zcash along with the NXT style PoS security, the witness based consensus system inspired by Bitshares, and the security and reliability of the Proof of Work Bitcoin Blockchain, which is a tested and proven system kept by thousands of nodes. Komodo's the Delayed Proof of Work (dPoW) consensus method will make Bitcoin the center of all PoS/dPoW cryptocurrencies, allowing the energy that is used in bitcoin mining to be utilized to secure other cryptocurrencies, thus making Bitcoin more energy efficient, while making other cryptocurrencies safer. this will add value to the entire alternative cryptocurrency sphere and to bitcoin itself as it becomes a vital part of other currencies and platforms.",KMD,15th Oct 2016,16th Nov 2016,https://komodoplatform.com,Malta,https://komodoplatform.com/whitepaper/,,,,,,,,
Platform,,lxdxsto,,"LXDX is the crypto derivatives exchange. We give you access to institutional liquidity with products you can’t get anywhere else. LXDX uses Smart Routing and our proprietary matching engine to secure the best-priced trades across all exchanges. Ultra-low latencies of 10 microseconds or less for full system in-and-out execution facilitate the tightest available bid-ask spreads on the market today. Our software runs on our proprietary hardware with both Level 3 market data distribution and support for colocation. This means that individual users can execute millions of trades per second across thousands of pairs. Our technology was developed by a team with decades of experience building trading infrastructure for traditional capital markets. Our mission is to bring innovative financial products to retail crypto investors, providing access to the same speed and scalability that institutional investors already depend on us to deliver each and every day. With LXDX, retail investors on our platform get all the advantages of institutional-grade tech and security. We're releasing 5 million tokens that represent a 10% share in the company and dividend rights to 10% of adjusted gross revenue.",LXDX,5th Nov 2018,5th Dec 2018,http://lxdx.co,Malta,https://www.lxdx.co/resources/lxdx-whitepaper.pdf,,,,,,,,
Platform,,paple,,"PAPLE - Blockchain Platform For Organic Way of Life. The PAPLE Platform takes an initiative against food adulteration, promoting organic food and dairy industry. We strive to provide healthy food for a healthy society. We plan to create a transparent, simple solution to supply chain for farmers, retailers, and consumers. We seek to provide an easy-to-use system for integrating all the facets of farm-related supply chain management including farm products, food for the animals, machinery, warehouse leasing, storage, etc. This streamlined process will make farming more efficient. The PAPLE Platform & token system creates strong connectivity in the organic food, agricultural, and dairy sectors. PAPLE offers a marketplace that provides users with unimaginable connectivity and modernization in all facets of these market is the main tenant of PAPLE; It’s a system that will benefit everyone involved.",PAP,20th Oct 2018,31st Mar 2019,https://www.paple.net,Malta,https://www.paple.net/whitepaper/paple-whitepaper.pdf?v=1.6
Platform,,play2live,30,"Driven by blockchain technology, Play2Live creates an ecosystem for streamers, viewers, tournament organizers, and product/service partners. Play2Live introduces a unique mixture of 15 interactive features and monetizing tools for the users of the platform versus 4-5 available on the existing solutions. Play2Live allows viewers to earn a token reward by just watching gaming streams, sharing internet channel via P2P CDN service, enabling advertising and much more. Streamers can fine-tune the properties of economy between them and the users. The utility token (Level Up Coin) is a fuel that allows for this degree of heightened interaction.",LUC,21st Feb 2018,14th Mar 2018,https://play2live.io/en,,,,,,,,,,
Platform,,poseidon,2.421832,"Poseidon builds climate change solutions with widespread and immediate impact. Its current ICO and token sales support its 'reduce' platform, which uses blockchain to let anyone rebalance the climate impact of any product or service in real time at the checkout.",OCEAN,13th May 2019,17th May 2019,https://www.poseidon.eco,Malta,https://poseidon.eco/assets/documents/Poseidon-Climate-Rescue.pdf
Platform,,rento,,"Rento is proposing a global sharing platform for businesses and individuals that allow renting of underutilised assets. Unlike competitors in the market, Rento provides rental of any item to any individual, rather than focusing simply on one market (cars, apartment share). Furthermore, Rento leverages blockchain technology to implement a trusted economy through smart contracts that ensure rental conditions are met and that the parties can count on one another to deliver and return the product or service. Rento aims to introduce the sharing economy in the daily lives of people everywhere, reducing waste in the economy and allowing more people to enjoy a variety of services and products without having to shoulder the cost of owning every type of item they use Blockchain technology provides opportunities in the sharing economy due to its immutable records, transparency, and smart contracts.",RTO,16th Oct 2018,28th Feb 2019,https://rento-app.io,Malta,https://rento-app.io/assets/whitepaper.pdf,,,,,,,,
Platform,,rocati,,"By purchasing ROCATI, you will be able to buy a house through any of the ITARCO real estate agencies. Those who plan to buy a property will be granted a credit amounting to 100% of the value. Transparency of operations is ensured by an account through which a public official will record the deed directly onto the currency’s blockchain. Those who buy ROCATI know that the currency’s appreciation is linked to real estate transactions, not speculation, and that this “safety brick” will lay the foundation for a peaceful future.",RCT,10th Mar 2018,19th Jul 2018,https://www.rocati.net,Malta,https://www.rocati.net/wp-content/uploads/2018/03/Whitepaper-ENG.pdf,,,,,,,,
Platform,,the abyss (daico),15.362418,"The Abyss is a next generation digital distribution platform, delivering all types of video games (Free2play MMOs and cryptogames being a key priority), including AAA-titles, where gamers and developers can profit from multilevel referral program and other activities.",ABYSS,18th Apr 2018,16th May 2018,https://www.theabyss.com,,,,,,,,,,
Platform,,victortokens,,Victor Tokens is a platform for providing sports information and sharing and trading information along with game prediction. Players can find sports information and play games free of charge within the platform; and only the transaction fee is charged to the players.,VIC,18th Jul 2018,30th Nov 2018,https://www.victortoken.io,Malta,,,,,,,,,
Platform,,vodi x,1.477031,"Vodi is an extraordinarily successful and award-winning all-in-one mobile platform boasting 5+ million users in over 200 countries and is tokenizing its ecosystem by launching Vodi X. Vodi X complements the already vibrant existing Vodi platform with the use of blockchain technology.",VDX,21st May 2019,22nd May 2019,https://vodix.io,Malta,https://vodix.io/pdf/VodiX_WhitePaper_1.1_EN.pdf?1557845291
Platform,,whirl,,"You can use WHIRL to get funding for just about anything, as long as it’s legal. Your dream could be a startup сompany, a charitable project, a gift, a holiday or even a new car. All you back someone else’s campaign before you seek backing for your own. WHIRL is ideal for people who don’t have the contacts, skills, or funds to campaign in other ways. By joining the WHIRL community, you can back people with similar dreams, and get their backing in return. WHIRL is not a typical crowdfunding platform tacked onto the blockchain; it offers a number of key improvements and innovations over legacy crowdfunding platforms.",WRL,26th Nov 2018,27th Aug 2019,https://whirl.com,Malta,https://whirl.com/WHIRL_WP.pdf
Platform,,wono,,"WONO is a P2P platform for rentals and freelancing. Thanks to Ethereum blockchain and the Interplanetary FIle System (IPFS), the platform and community are decentralized, which allows users to interact without a middlemen. WONO combines functions of Airbnb, Turo, Upwork and TaskRabbit on blockchain. WONO solves 5 major problems of P2P economy: high commissions, taxation of vendors, non-transparency of ratings and reviews, currency exchange loss and risk of fraud and deal cancellation. WONO users can act in 4 different roles at the same time: vendor (rent smth out or perform jobs), customer (rent smth or post a job), guarantor (stake for successful deal termination) and arbitrator (determine affected party in disputes). WONO users can earn and spend tokens on one platform which lets them never withdraw tokens and legally avoid any kind of taxation or exchange loss.",WONO,3rd Sep 2018,1st Oct 2018,https://wono.io,Malta,https://wono.io/assets/wp.pdf,,,,,,,,
Platform,,yizoot,,"Any land owner can build or host a video ‘geo-channel’ on their land Video creators tether their content to these geo-channels Audiences get paid to watch videos, interact and participate Brands have total transparency and more engaged audiences. Everybody earns: Audience, creators, and of course, owners.",YUT,30th Apr 2018,26th Jun 2018,https://yizoot.com,Malta,https://yizoot.com/YIZOOT-Whitepaper.pdf,,,,,,,,
Real estate,,brick,,"Brick is a visionary project that is implementing the blockchain based real estate platform of the future that runs on the BRK token. The platform provides a real estate portal for people and organizations to tokenize their real estate assets, offer their real estate assets for sale or rental, and keep a record of real estate transactions on the blockchain. The Brick portal is implemented on the foundation of a custom blockchain and the BRK token, which runs on a proof stake (PoS) based blockchain that is tailored for real estate tokens and transactions. Additionally, BRK implements Proof of HODL (PoH) and Proof of Care (PoC) for encouraging proper use of the BRK token and rewarding people for maintaining their stake in the token and also for using it for real estate transactions.",BRKC,16th Aug 2018,31st Dec 2018,https://thebrick.io,Malta,https://thebrick.io/static/whitepaper/BrickWhitepaper.pdf,,,,,,,,
Real estate,,rilstat,,We aim to break mobility barriers by proposing underused ownership models easily developed with Blockchain while reducing Real-Estate maintenance and overall costs and fees with our already patented construction methods that enable us to build in bulk from factories.,GREIT,3rd Jan 2019,21st Feb 2019,https://www.rilstat.com,Malta,https://rilstat.com/wp-content/uploads/2018/11/Whitepaper-1.0-Rilstat-project-ICO.pdf,,,,,,,,
Retail,,gamb,8.2,"GAMB is a self-governed and decentralized ecosystem for e-commerce, driven by smart contracts, enhanced by open source development and empowered by the first Global Alliance of Merchants on the Blockchain. This revolutionary concept is backed by GAMBIO - the #1 e-commerce software provider in Germany with $2.8 Billion annual shop revenues reported in 2017.",GMB,31st Jul 2018,31st Jul 2018,https://gamb.io,Malta,https://gamb.io/files/gamb-whitepaper.pdf,,,,,,,,
Smart Contract,,gamblica,1.371565,"GLOBAL BLOCKCHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience. Gamblica addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy GMBC: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with GMBC only, which will foster the token's growth. - The ever-growing market of online gambling.",GMBC,1st Mar 2018,1st Oct 2018,https://gamblica.com,Malta,https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf,,,,,,,,
Sports,,ronaldinho soccer coin,,"As Ronaldinho states out to make ''a world full of dreams, hope and smile", will be creating a key coin for Soccer World. In order to achieve this ideal, WSC will develop real and digital businesses targeting approximately 3.5 billion of soccer fans. We will develop a block chain technology, as for the foundation of business in collaboration with NEO. By creating RSC platform, we will develop our service on Ronaldinho digital stadium, Betting (RSC super league and e-sports)," and an agent system (Ronaldinho soccer academy and smile project). Ronaldinho and WSC will walk along to contribute to the world as much as possible through this project.""",RSC,16th Aug 2018,17th Oct 2018,https://www.soccercoin.eu,Malta,https://www.soccercoin.eu/whitepaper/,,
